first_sentence	second_sentence	label
26. To fulfil these responsibilities, the management body should instru    	ct senior management to:   	1
a. develop and maintain appropriate processes, which should be systematic and consistently    applied, to determine appropriate allowances in accordance with the applicable accounting	      framework;            	1
b. establish and implement an effective internal control system for credit risk assessment and    measurement; report periodically the results of the credit risk	assessment  and  measurement        processes,  including  estimates  of  its  ECL  allowances;        	1
c. establish, implement and, as necessary, update suitable policies and procedures to    communicate the credit risk assessment and measurement process internally to all	relevant        staff,  in  particular  staff  members  who  are  involved  in  that  process.    	1
     Senior management should be responsible for implementing the credit risk strategy approved      by the management body	and  developing  the  aforementioned  policies  and  processes.      	1
27. An effective internal control system for credit risk assessment	 and measurement should     include:  	1
a. measures to comply with applicable laws, regulations, intern  	al policies and procedures;      	1
b. measures to provide oversight of the integrity of information used and reasonably ensure that    the allowances reflected in the credit institution’s financial	statements  and  reports  submitted        to  the  competent  authority  are  prepared  in  accordance  with  the  applicable  accounting        framework  and  relevant  supervisory  requirements;        	1
c. well-defined credit risk assessment and measurement processes that are independent from   	 (while taking appropriate account of) the lending function, which contain: 	1
  i.    an effective credit risk rating system that is consistently applied, accurately grades  	          differentiating  by  credit  risk  characteristics,  identifies  changes  in  credit  risk  on  a  timely  basis,  and  prompts  appropriate  action;  22        The  Financial  Stability  Board  published  Principles  for  sound  residential  mortgage  underwriting  practices  in  April  2012  which  aim  to  provide  a  framework  for  jurisdictions  to  set  minimum  acceptable  underwriting  standards  for  real  estate  lending  exposures;  available  at  www.financialstabilityboard.org/publications/r_120418.pdf.  The  EBA  has  published  Guidelines  on  creditworthiness  assessment  (EBA/GL/2015/11)  which  are  aligned  with  the  FSB  Principles  and  cover  some  of  them.    	1
    ii.    an effective process to ensure that all relevant and reasonable and supportable	      information,  including  forward-looking  information,  is  appropriately  considered  in        assessing  credit  risk  and  measuring  ECL.  This  includes  maintaining  appropriate        reports,  details  of  reviews  performed,  and  identification  and  descriptions  of  the  roles        and  responsibilities  of  staff  involved;          	1
   iii.    an assessment policy that ensures ECL measurement occurs at the individual lending 	    exposure  level  and  also,  when  necessary  to  appropriately  measure  ECL  in  accordance        with  the  applicable  accounting  framework,  at  the  collective  portfolio  level  by        grouping  exposures  based  on  identified  shared  credit  risk  characteristics;          	1
   iv.     an effective model validation process to ensure that the credit risk assessment	and        measurement  models  are  able  to  generate  accurate,  consistent  and  unbiased        predictive  estimates,  on  an  ongoing  basis.  This  includes  establishing  policies  and        procedures  which  set  out  the  accountability  and  reporting  structure  of  the  model        validation  process,  internal  rules  for  assessing  and  approving  changes  to  the  models,        and  reporting  of  the  outcome  of  the  model  validation;      	1
    v.     clear formal communication and coordination among a credit institution’s credit risk	      staff,  financial  reporting  staff,  senior  management,  the  management  body  and  others        who  are  involved  in  the  credit  risk  assessment  and  ECL  measurement  process.  This        should  be  evidenced  by  written  policies  and  procedures,  management  reports  and        minutes  of  committees  involved  such  as  management  body  or  senior  management        committees;  and      	1
d. an internal audit 23 fu	nction that:       	1
    i.     independently evaluates the effectiveness of the credit institution’s credit risk 	    assessment  and  measurement  systems  and  processes,  including  the  credit  risk  rating        system;  and            	1
    ii.    makes recommendations on addressing any weaknesses identified during this   	              evaluation.    	1
      Credit institutions should adopt, document and adhere to policies which include sound       methodologies, procedures	and  controls  for  assessing  and  measuring  credit  risk  on  all  lending              exposures.  The  measurement  of  allowances  should  build  upon  those  methodologies  and  result              in  the  appropriate  and  timely  recognition  of  ECL  in  accordance  with  the  applicable  accounting              framework.      	1
28. The credit risk assessment and measurement process should provide the relevant information     for senior management to make its experienced judgements about	the  credit  risk  of  lending          exposures,  and  the  related  estimation  of  ECL.  	1
29. Credit institutions should, to the maximum extent possible, leverage and integrate common     processes, systems, tools and data that are used within	a  credit  institution  to  determine  if,          when,  and  on  what  terms,  credit  should  be  granted;  monitor  credit  risk;  and  measure          allowances  for  both  accounting  and  capital  adequacy  purposes.    	1
30. A credit institution’s allowance methodologies should clearly document the definitions of key     terms related to the assessment of credit risk and	ECL  measurement  (such  as  loss  and          migration  rates,  loss  events  and  default).  Where  different  terms,  information  or  assumptions          are  used  across  functional  areas  (such  as  accounting,  capital  adequacy  and  credit  risk          management),  the  underlying  rationale  for  these  differences  should  be  documented  and          approved  by  senior  management.  Information  and  assumptions  used  for  ECL  estimates  should          be  reviewed  and  updated  as  required  by  the  applicable  accounting  framework.    	1
31. Credit institutions should have in place adequate processes and systems to appropriately     identify, measure, evaluate, monitor, report and mitigate the level	of  credit  risk.  During  the          transition  to  the  ECL  accounting  model,  existing  processes  and  systems  should  be  evaluated          and,  if  necessary,  modified  to  collect  and  analyse  relevant  information  affecting  the          assessment  of  credit  risk  and  ECL  measurement.      	1
32. Credit institutions should adopt and adhere to written policies and procedures detailing the     credit risk systems and controls used in their	credit  risk  methodologies,  and  the  separate  roles          and  responsibilities  of  the  credit  institution’s  management  body  and  senior  management.    	1
33. Sound methodologies for assessing credit risk and measuring the level of allowances (subject     to exposure type, for example retail or wholesale)	should,  in  particular:              	1
a. include a robust process that is designed to equip the credit institution with the ability to    identify the level, nature and drivers	of  credit  risk  upon  initial  recognition  of  the  lending        exposure,  to  ensure  that  subsequent  changes  in  credit  risk  can  be  identified  and  quantified;          	1
b. include criteria to duly consider the impact of forward-looking information, including    macroeconomic factors. Whether the evaluation of credit risk is conducted on	a  collective  or        individual  basis,  a  credit  institution  should  be  able  to  demonstrate  that  this  consideration  has        occurred  so  that  the  recognition  of  ECL  is  not  delayed.  Such  criteria  should  result  in  the        identification  of  factors  that  affect  repayment,  whether  related  to  borrower  incentives,        willingness  or  ability  to  perform  on  the  contractual  obligations,  or  lending  exposure  terms  and        conditions.  Economic  factors  considered  (such  as  unemployment  rates  or  occupancy  rates)        should  be  relevant  to  the  assessment  and,  depending  on  the  circumstances,  this  may  be  at        the  international,  national,  regional  or  local  level;      	1
c. include, for collectively evaluated exposures, a description of the basis for creating groups of  	  portfolios of exposures with shared credit risk characteristics;	1
d. identify and document the ECL assessment and measurement methods (such as a loss rate    method, probability of default (PD)/loss-given-default (LGD) method, or	another  method)  to        be  applied  to  each  exposure  or  portfolio;        	1
e. document the reasons why the selected method is appropriate, especially if different ECL    measurement methods are applied to different portfolios and types	of  individual  exposures.        Credit  institutions  should  be  able  to  explain  to  the  competent  authorities  the  rationale  for  any        changes  in  measurement  approach  (for  example,  a  move  from  a  loss  rate  method  to  a        PD/LGD  method)  and  the  quantitative  impacts  of  such  changes;  	1
f.   	document:          	1
       i.     the inputs, data and assumptions used in the allowance estimation process, such as 	            historical  loss  rates,  PD/LGD  estimates  and  economic  forecasts;      	1
       ii.    how the life of an exposure or portfolio is determined (including how expected  	          prepayments  and  defaults  have  been  considered);            	1
      iii.    the time period over which historical l	oss experience is evaluated;      	1
      iv.     any adjustments necessary for the estimation of ECL in accordance with the   	        applicable  accounting  framework.  For  example,  if  current  and  forecasted  economic  conditions  are  different  from  those  that  existed  during  the  historical  estimation  period  being  used,  adjustments  that  are  directionally  consistent  with  those  differences  should  be  made.  In  addition,  a  credit  institution  may  have  experienced  little  to  no  actual  losses  in  the  historical  period  analysed;  however,  current  or  forward-looking  conditions  can  differ  from  conditions  during  the  historical  period,  and  the  impact  of  these  changes  on  ECL  should  be  assessed  and  measured;        	1
g. include a process for evaluating the appropriateness of significant inputs and assumptions in    the ECL measurement method chosen. The basis for inputs	and  assumptions  used  in  the        process  of  the  estimation  of  allowances  should  generally  be  consistent  from  period  to  period.        Where  the  inputs  and  assumptions  or  the  basis  for  these  change,  the  rationale  should  be        documented;  	1
h. identify the situations that would generally lead to changes in ECL measurement methods,    inputs or assumptions from period to period (for example,	a  credit  institution  may  state  that  a        loan  that  had  been  previously  evaluated  on  a  collective  basis  using  a  PD/LGD  method  may  be        removed  and  evaluated  individually  using  the  discounted  cash  flow  method  upon  receipt  of        new,  borrower-specific  information  such  as  the  loss  of  employment);          	1
i.   consider the relevant internal and external factors that may affect ECL estimates, such as the      underwriting standards applied	to  a  lending  exposure  at  origination  and  changes  in  industry,            geographical,  economic  and  political  factors;        	1
j.   address how ECL estimates are determined (for example historical loss rates or migration      analysis as a starting point,	adjusted  for  information  on  current  and  expected  conditions).  A            credit  institution  should  have  an  unbiased  view  of  the  uncertainty  and  risks  in  its  lending            activities  when  estimating  ECL;              	1
k. identify what factors are considered when establishing appropriate historical time periods    over which to evaluate historical loss experience. A credit institution should	maintain        sufficient  historical  loss  data  to  provide  a  meaningful  analysis  of  its  credit  loss  experience  for        use  as  a  starting  point  when  estimating  the  level  of  allowances  on  a  collective  or  individual        basis;      	1
l.   determine the extent to which the value of collateral and other credit 	risk mitigants affects      ECL;  	1
m. outline the credit institution’s policies and procedures on      	write-offs and recoveries;   	1
n. require that analyses, estimates, reviews and other tasks/processes that are inputs to or    outputs from the credit risk assessment and measurement process	are  performed  by        competent  and  well-trained  staff  and  validated  by  staff  who  are  independent  of  the  credit        institution’s  lending  activities.  These  inputs  to  and  outputs  from  these  functions  should  be        well  documented,  and  the  documentation  should  include  clear  explanations  supporting  the        analyses,  estimates  and  reviews;    	1
o. document the methods used to validate models for ECL measuremen	t (for example    backtests);   	1
p. ensure that ECL estimates appropriately incorporate forward-looking information, including    macroeconomic factors, that has not already been factored into allowances measured on an	      individual  exposure  basis.  This  may  require  management  to  use  its  experienced  credit        judgement  to  consider  broad  trends  in  the  entire  lending  portfolio,  changes  in  the  credit        institution’s  business  model,  macroeconomic  factors,  etc.;  and      	1
34. A credit institution’s credit risk identification process should ensure that factors that impact     changes in credit risk and estimates of ECL	are  properly  identified  on  a  regular  basis.  In          addition,  consideration  of  credit  risk  inherent  in  new  products  and  activities  should  be  a  key          part  of  the  credit  risk  identification  process,  the  assessment  of  credit  risk  and  measurement          of  ECL.  	1
35. Senior management should consider relevant facts and circumstances, including forwardlooking information, that are likely to cause ECL to differ from historical experience and that 	      may  affect  credit  risk  and  the  full  collectability  of  cash  flows.      	1
36. With respect to factors related to the character, capacity and capital of borrowers, the terms     of lending exposures, and the values	of  assets  pledged  as  collateral  together  with  other  credit          risk  mitigants  that  may  affect  the  full  collectability  of  cash  flows,  a  credit  institution  should          (depending  on  the  type  of  exposure)  consider:            	1
37. Where they have the potential to affect the credit institution’s ability to recover amounts     due, credit institutions should consider factors relating	to  the  credit  institution’s  business          model  and  current  and  forecasted  macroeconomic  conditions,  including  but  not  limited  to:      	1
24   Commission Implementing Regulation (EU) 2015/79 of 18 December 2014 amending Implementing Regulation (EU) No 680/2014 laying down implementing technical standards with regard to	supervisory  reporting  of  institutions  according  to  Regulation  (EU)  No  575/2013  of  the  European  Parliament  and  of  the  Council  as  regards  asset  encumbrance,  single  data  point  model  and  validation  rules.    	1
38. Sound credit risk methodologies should consider different potential scenarios and should not     rely purely on subjective, biased or overly optimistic considerations.	Credit  institutions  should          develop  and  document  their  processes  to  generate  relevant  scenarios  to  be  used  in  the          estimation  of  ECL.  In  particular:  	1
39. While a credit institution does not need to identify or model every possible scenario through     scenario simulations, it should consider all	reasonable  and  supportable  information  that  is          relevant  to  the  product,  borrower,  business  model  or  economic  and  regulatory  environment    	1
40. Senior management should be able to demonstrate that it understands and appropriately     considers inherent risks when pricing lending exposures. Credit institutions	should  take          particular  care  of  the  following  fact  patterns,  which  are  potentially  indicative  of  inadequate          estimates  of  ECL:          	1
41. Credit institutions’ accounting policies should address, and their allowance methodology    	 should include, criteria for (a) renegotiations/modifications of lending exposures due to	1
42. As part of its credit risk assessment process, credit institutions should have in place     comprehensive procedures and information systems to monitor	the  quality  of  their  lending          exposures.  These  include  an  effective  credit  risk  rating  process  that  captures  the  varying  level,          nature  and  drivers  of  credit  risk  that  may  manifest  themselves  over  time,  in  order  to          reasonably  ensure  that  all  lending  exposures  are  properly  monitored  and  that  ECL  allowances          are  appropriately  measured.              	1
43. The credit risk rating process should include an independent review function. Initial     assignment of credit risk grades to exposures and their	ongoing  updating  by  front-line  lending          staff  should  be  subject  to  the  review  of  the  independent  review  function.      	1
44. Credit institutions should take into account a number of criteria when assigning the credit risk     grade upon initial recognition of a	lending  exposure  including,  to  the  extent  relevant,  product          type,  terms  and  conditions,  collateral  type  and  amount,  borrower  characteristics  and          geography  or  a  combination  thereof.            	1
45. When changing existing credit risk grades assigned, on either a portfolio or an individual basis,     credit institutions should take into account	other  relevant  factors  such  as,  but  not  limited  to,          changes  in  industry  outlook,  business  growth  rates,  consumer  sentiment  and  changes  in          economic  forecasts  (such  as  interest  rates,  unemployment  rates  and  commodity  prices)  as          well  as  weaknesses  in  underwriting  identified  after  initial  recognition.          	1
46. The credit risk rating system should capture all lending exposures when assessing the impact     of changes in credit risk, and not	only  those  that  may  have  experienced  significant  increases          in  credit  risk,  have  incurred  losses  or  are  otherwise  credit  impaired.  This  is  to  allow  for  an          appropriate  differentiation  of  credit  risk  and  grouping  of  lending  exposures  within  the  credit          risk  rating  system,  and  to  reflect  the  risk  of  individual  exposures  as  well  as,  when  aggregated          across  all  exposures,  the  level  of  credit  risk  in  the  portfolio  as  a  whole.  In  this  context,  an          effective  credit  risk  rating  system  should  allow  credit  institutions  to  identify  both  migration  of          credit  risk  and  significant  changes  in  credit  risk.        	1
47. Credit institutions should describe the elements of their credit risk rating system, clearly     defining each credit risk grade and designating the	staff  responsible  for  the  design,          implementation,  operation  and  performance  of  the  system  as  well  as  those  responsible  for          periodic  testing  and  validation  (i.e.  the  independent  review  function).      	1
48. Credit risk grades should be reviewed whenever relevant new information is received or a     credit institution’s expectation of credit risk has	changed.  Credit  risk  grades  assigned  should        	1
49. Credit institutions should group exposures with shared credit risk characteristics in a way that     is sufficiently granular to be able to	reasonably  assess  changes  in  credit  risk  and  thus  the          impact  on  the  estimate  of  ECL  for  these  groups.    	1
50. A credit institution’s methodology for grouping exposures to assess credit risk (such as by     instrument type, product terms and conditions, industry/market	segment,  geographical          location  or  vintages)  should  be  documented  and  subject  to  appropriate  review  and  internal          approval  by  senior  management.        	1
51. Lending exposures should be grouped according to shared credit risk characteristics so that     changes in the level of credit risk respond	to  the  impact  of  changing  conditions  on  a  common          range  of  credit  risk  drivers.  This  includes  considering  the  effect  on  the  group’s  credit  risk  in          response  to  changes  in  forward-looking  information,  including  macroeconomic  factors.  The          basis  of  grouping  should  be  reviewed  by  senior  management  to  ensure  that  exposures  within          the  group  remain  homogeneous  in  terms  of  their  response  to  credit  risk  drivers  and  that  the          relevant  credit  risk  characteristics  and  their  impact  on  the  level  of  credit  risk  for  the  group          have  not  changed  over  time.          	1
52. Exposures should not be grouped in such a way that an increase in the credit risk of particular     exposures is obscured	by  the  performance  of  the  group  as  a  whole.  	1
53. Credit institutions should have in place a robust process to ensure appropriate initial grouping     of their lending exposures. Subsequently, the grouping	of  exposures  should  be  re-evaluated          and  exposures  should  be  re-segmented  if  relevant  new  information  is  received  or  a  credit          institution’s  changed  expectations  of  credit  risk  suggest  that  a  permanent  adjustment  is          warranted.  If  a  credit  institution  is  not  able  to  re-segment  exposures  on  a  timely  basis,  a          temporary  adjustment  should  be  used.          	1
54. Credit institutions should use temporary adjustments to an allowance only as an interim     solution, in particular in transient circumstances or when	there  is  insufficient  time  to          appropriately  incorporate  relevant  new  information  into  the  existing  credit  risk  rating  and          modelling  process,  or  to  re-segment  existing  groups  of  lending  exposures,  or  when  lending          exposures  within  a  group  of  lending  exposures  react  to  factors  or  events  differently  than          initially  expected.        	1
55. Such adjustments should not be continuously used over the long term for a non-transient risk     factor. If the reason for the	adjustment  is  not  expected  to  be  temporary,  such  as  the          emergence  of  a  new  risk  driver  that  has  not  previously  been  incorporated  into  the          institution’s  allowance  methodology,  the  methodology  should  be  updated  in  the  near  term  to          incorporate  the  factor  that  is  expected  to  have  an  ongoing  impact  on  the  measurement  of          ECL.        	1
56. The use of temporary adjustments requires the application of significant judgement and     creates the potential for bias. In order to avoid	the  creation  of  potential  for  bias,  temporary          adjustments  should  be  directionally  consistent  with  forward-looking  forecasts,  supported  by          appropriate  documentation,  and  subject  to  appropriate  governance  processes.          	1
57. Credit institutions should implement sound credit risk methodologies with the objective that     the overall balance of the allowance for ECL is	developed  in  accordance  with  the  applicable          accounting  framework  and  adequately  reflects  ECL  within  that  framework.          	1
58. When assessing the adequacy of the allowances credit institutions should take into account     relevant factors and expectations at the reporting date	that  may  affect  the  collectability  of          remaining  cash  flows  over  the  life  of  a  group  of  lending  exposures  or  a  single  lending          exposure.  Credit  institutions  should  consider  information  which  goes  beyond  historical  and          current  data,  and  take  into  account  reasonable  and  supportable  forward-looking  information,          including  macroeconomic  factors,  that  are  relevant  to  the  exposure(s)  being  evaluated  (for          example  retail  or  wholesale)  in  accordance  with  the  applicable  accounting  framework.              	1
59. Depending on the ability to incorporate forward-looking information into the ECL estimate,     credit institutions may use individual or collective assessment approaches;	regardless  of  the          assessment  approach  used,  they  should  be  consistent  with  the  relevant  accounting          requirements  and  not  result  in  materially  different  allowance  measurements.  Together,          individual  and  collective  assessments  form  the  basis  for  the  allowance  for  ECL.        	1
60. The ECL assessment approach used should be the most appropriate in the particular     circumstances, and typically should be aligned with how	the  credit  institution  manages  the          lending  exposure.  For  example,  collective  assessment  is  often  used  for  large  groups  of          homogeneous  lending  exposures  with  shared  credit  risk  characteristics,  such  as  retail          portfolios.  Individual  assessments  are  often  conducted  for  significant  exposures,  or  where          credit  concerns  have  been  identified  at  the  individual  loan  level,  such  as  watch  list  and  past          due  loans.    	1
61. Regardless of the assessment approach it uses (individual or collective), a credit institution     should ensure this does not result in delayed	recognition  of  ECL.              	1
62. When credit institutions use individual assessments, the ECL estimate should always     incorporate the expected impact of all reasonable and supportable forward-looking	        information,  including  macroeconomic  factors,  that  affect  collectability  and  credit  risk.  When          applying  an  individual  assessment  approach,  in  the  same  manner  as  in  the  case  of  collective          assessment,  the  credit  institution’s  documentation  should  clearly  demonstrate  how  forwardlooking  information,  including  macroeconomic  factors,  has  been  reflected  in  the  individual          assessment.      	1
63. In cases when a credit institution’s individual assessments of exposures do not adequately     consider forward-looking information, and in order to allow	identification  of  relationships          between  forward-looking  information  and  ECL  estimates  that  may  not  be  apparent  at  the          individual  level,  an  institution  should  group  lending  exposures  with  shared  credit  risk          characteristics  to  estimate  the  impact  of  forward-looking  information,  including          macroeconomic  factors.  Conversely,  when  credit  institutions  determine  that  all  reasonable          and  supportable  forward-looking  information  has  been  incorporated  in  the  individual          assessment  of  ECL,  an  additional  forward-looking  assessment  should  not  be  conducted  on  a          collective  basis  if  that  could  result  in  double  counting.  	1
64. Credit institutions may use in the ECL assessment and measurement process models and     assumption-based estimates for risk identification and measurement, at	both  the  individual          lending  exposure  and  overall  portfolio  levels,  including  credit  grading,  credit  risk          identification,  measurement  of  ECL  allowances  for  accounting  purposes,  stress  testing  and          capital  allocation.  Models  used  in  the  ECL  assessment  and  measurement  process  should          consider  the  impact  of  changes  to  borrower  and  credit  risk-related  variables  such  as  changes          in  PDs,  LGDs,  exposure  amounts,  collateral  values,  migration  of  default  probabilities  and          internal  borrower  credit  risk  grades  based  on  historical,  current,  and  reasonable  and          supportable  forward-looking  information,  including  macroeconomic  factors.            	1
65. Credit institutions should have robust policies and procedures in place to appropriately     validate the accuracy and consistency of the models used	to  assess  the  credit  risk  and          measure  ECL,  including  their  model-based  credit  risk  rating  systems  and  processes  and  the          estimation  of  all  relevant  risk  components,  at  the  outset  of  model  usage  and  on  an  ongoing          basis.  Such  policies  and  procedures  should  appropriately  include  the  role  of  professional          judgement.    	1
66. Model validation should be conducted when the ECL models are initially developed and when     significant changes are made to the models,	and  should  ensure  that  the  models  are  suitable          for  their  proposed  usage  on  an  ongoing  basis.        	1
67. A sound model validation framework should include, but not be limited to, t  	he following     elements:    	1
68. Credit institutions should have the necessary tools to ensure a robust estimate and timely     recognition of ECL. Given that information on	historical  loss  experience  or  the  impact  of          current  conditions  may  not  fully  reflect  the  credit  risk  in  lending  exposures,  credit  institutions          should  use  their  experienced  credit  judgement  to  thoroughly  incorporate  the  expected          impact  of  all  reasonable  and  supportable  forward-looking  information,  including          macroeconomic  factors,  on  its  estimate  of  ECL.  A  credit  institution’s  use  of  its  experienced          credit  judgement  should  be  documented  in  the  credit  institution’s  credit  risk  methodology          and  subject  to  appropriate  oversight.          	1
69. Historical information provides a useful basis for the identification of trends and correlations     needed to identify the credit risk drivers for	lending  exposures.  However,  ECL  estimates  must          not  ignore  the  impact  of  (forward-looking)  events  and  conditions  on  those  drivers.  The          estimate  should  reflect  the  expected  future  cash  shortfalls  resulting  from  such  impact.            	1
70. Consideration of forward-looking information should not be avoided on the basis that a credit     institution considers the cost of incorporating such	forward-looking  information  to  be  very          high  or  unnecessary  or  because  there  is  uncertainty  in  formulating  forward-looking  scenarios,          unless  the  additional  cost  and  operational  burden  to  be  introduced  do  not  contribute  to  a          high-quality  implementation  of  an  ECL  accounting  framework.  	1
71. Credit institutions should be able to demonstrate that the forward-looking information     factored into the ECL estimation process has a link to	the  credit  risk  drivers  for  particular          exposures  or  portfolios.  Given  that  it  may  not  be  possible  to  demonstrate  a  strong  link  in          formal  statistical  terms  between  certain  types  of  information,  or  even  the  information  set  as  a          whole,  and  the  credit  risk  drivers,  credit  institutions  should  use  their  experienced  credit          judgement  in  establishing  an  appropriate  level  for  the  individual  or  collective  allowance.          When  a  forward-looking  factor  that  has  been  identified  as  relevant  is  not  incorporated  into          the  individual  or  collective  assessment,  temporary  adjustments  may  be  necessary.          	1
72. Macroeconomic forecasts and other relevant information should be applied consistently     across portfolios where the credit risk drivers of the portfolios are	affected  by  these          forecasts/assumptions  in  the  same  way.  Furthermore,  when  developing  ECL  estimates,  credit          institutions  should  apply  their  experienced  credit  judgement  to  consider  their  point  in  the          credit  cycle,  which  may  differ  across  the  jurisdictions  in  which  they  have  lending  exposures.            	1
73. Credit institutions should exercise care when determining the level of ECL allowances to be     recognised for accounting purposes, to ensure that	the  resulting  estimates  are  appropriate          (i.e.  consistent  with  neutrality  and  neither  understated  nor  overstated).            	1
74. Additionally, credit institutions should avail themselves of a wide range of information     derived in the credit risk management process, including that	of  a  forward-looking  nature  for          risk  management  and  capital  adequacy  purposes,  in  developing  their  estimate  of  ECL.      	1
75. To the maximum extent possible, credit institutions should use common processes, systems,     tools and data to assess credit risk, measure ECL	for  accounting  purposes  and  determine          expected  losses  for  capital  adequacy  purposes  in  order  to  strengthen  the  reliability  and          consistency  of  the  resulting  ECL  estimates,  increase  transparency  and,  through  market          discipline,  provide  incentives  to  follow  sound  credit  risk  practices.    	1
76. Credit risk practices should be reviewed periodically to ensure that relevant data available     throughout a credit institution’s organisation are captured and	that  systems  are  updated  as          the  credit  institution’s  underwriting  or  business  practices  change  or  evolve  over  time.  A          feedback  loop  should  be  established  to  ensure  that  information  on  estimates  of  ECL,  changes          in  credit  risk  and  actual  losses  experienced  on  lending  exposures  is  shared  among  credit  risk          experts,  accounting  and  regulatory  reporting  staff,  and  in  particular  with  the  loan          underwriting  staff.            	1
77. The common processes, systems, tools and data mentioned above could include credit risk     rating systems, estimated PDs (subject to appropriate adjustments),	past-due  status,  loan-tovalue  ratios,  historical  loss  rates,  product  type,  amortisation  schedule,  down  payment          requirements,  market  segment,  geographical  location,  vintage  (i.e.  date  of  origination)  and          collateral  type.        	1
78. The objective of public disclosures is to provide decision-useful information on a credit     institution’s financial position and performance, and changes therein,	to  a  wide  range  of  users          in  a  clear  and  understandable  manner.  Credit  institutions  should  aim  to  provide  information          that  is  relevant  and  comparable  so  that  users  can  make  timely,  informed  decisions  and  are          able  to  evaluate  the  stewardship  of  management  body  and  senior  management.    	1
79. Financial and credit risk management disclosures should be made in accordance with the     applicable accounting and supervisory frameworks 26. Credit institutions	should  provide  the          disclosures  needed  to  fairly  depict  a  credit  institutions’s  exposure  to  credit  risk,  including  its          ECL  estimates,  and  to  provide  relevant  information  on  a  credit  institution’s  underwriting          practices.      	1
80. Consistently with the applicable accounting standards and regulations, credit institutions’     senior management should apply judgement to determine the appropriate level of	        aggregation  and  disaggregation  of  data  disclosed,  such  that  disclosures  continue  to  meet          accounting  requirements,  and  provide  insights  into  a  credit  institution’s  exposure  to  credit          risk  and  ECLs  for  users  to  perform  individual  institution  analysis  and  relevant  peer  group          comparisons.        	1
81. Quantitative and qualitative disclosures when taken as a whole should communicate to users     the main assumptions/inputs used to develop ECL estimates.	Disclosures  should  highlight          policies  and  definitions  that  are  integral  to  the  estimation  of  ECL  (such  as  a  credit  institution’s          basis  for  grouping  lending  exposures  into  portfolios  with  similar  credit  risk  characteristics  and          its  definition  of  default  27),  factors  that  cause  changes  in  ECL  estimates,  and  the  manner  in          which  senior  management’s  experienced  credit  judgement  has  been  incorporated.  Disclosure          of  significant  policies  should  indicate  how  those  policies  have  been  implemented  in  the          specific  context  of  the  credit  institution.              	1
82. Credit institutions should provide qualitative disclosures on how forward-looking information,     including macroeconomic factors, has been incorporated into the ECL estimation process,	in          accordance  with  the  applicable  accounting  framework,  in  particular  when  the  assessment  is          carried  out  on  an  individual  basis.        	1
83. Disclosures regarding the basis for grouping lending exposures should include information on     how senior management satisfies itself that lending exposures are	appropriately  grouped,          such  that  these  groups  continue  to  share  credit  risk  characteristics.  	1
84. To improve the quality and meaningfulness of information disclosed for ECL estimates, credit     institutions should provide an explanation of significant changes	to  the  estimation  of  ECL  from        	1
26   In accordance with Part 8 of Regulation (EU) 575/2013, EBA GL/2016/11 on disclosures requirements under Part 8 of Regulation (EU) 573/2013) and EBA	GL/2014/14  on  materiality,  proprietary  and  confidentiality  and  on  disclosure  frequency  under  Articles  432(1),  432(2)  and  433  of  Regulation  (EU)  No  575/2013.  27    See  paragraphs  89  and  90  in  the  next  section  for  further  guidance  on  definition  of  default.            	1
85. Credit institutions’ management body should regularly review its disclosure policies to ensure     that the information disclosed continues to be relevant to	the  credit  institution’s  risk  profile,          product  concentrations,  industry  norms  and  current  market  conditions.  In  doing  so,  credit          institutions  should  provide  disclosures  that  facilitate  comparisons  with  its  peers,  enabling          users  to  monitor  changes  in  the  credit  institution’s  ECL  estimates  from  period  to  period  and          perform  meaningful  analyses  across  national  and  international  peer  groups.          	1
4.3 Guidelines specific to credit institutions applying IFRS 9 This section provides guidelines on aspects of the ECL requirements in the impairment sections of IFRS 9	—  (i)  the  loss  allowance  at  an  amount  equal  to  12-month  ECL;  (ii)  the  assessment  of  significant  increases  in  credit  risk;  and  (iii)  the  use  of  practical  expedients  —  that  are  not  common  to  other  ECL  accounting  frameworks  and  should  be  read  in  conjunction  with  the  other  sections  of  these  guidelines.  	1
86. In accordance with paragraph 5.5.5 of IFRS 9 ’if, at the reporting date, the credit risk on a     financial instrument has	not  increased  significantly  since  initial  recognition,  an  entity  shall          measure  the  loss  allowance  for  that  financial  instrument  at  an  amount  equal  to  12-month          expected  credit  losses’.  Credit  institutions  should  measure  ECL  for  all  lending  exposures  and  a          nil  allowance  should  be  rare  because  ECL  estimates  are  a  probability-weighted  amount  that          should  always  reflect  the  possibility  that  a  credit  loss  will  occur  (see  paragraphs  5.5.17  and            	1
87. Credit institutions should adopt an active approach to assessing and measuring 12-month ECL     that enables changes in credit risk to be	identified  in  a  timely  manner  and  hence  the  timely          recognition  of  those  changes  in  ECL.  In  accordance  with  Principle  6  estimates  of  the  amount          and  timing  of  12-month  ECL  should  reflect  senior  management’s  experienced  credit          judgement,  and  represent  an  unbiased  probability-weighted  estimate  of  ECL  by  considering  a          range  of  possible  outcomes            	1
88. IFRS 9 defines an amount equal to 12-month ECL as ‘the portion of lifetime expected credit     losses that represent the expected	credit  losses  that  result  from  default  events  on  a  financial          instrument  that  are  possible  within  the  12  months  after  the  reporting  date’  28.  For  these          purposes,  credit  institutions  must  note  that  an  amount  equal  to  the  12-month  ECL  is  not  only          the  losses  expected  in  the  next  12  months;  rather,  in  accordance  with  IFRS  9            	1
